timestamp,id,key,project_id,project_key,parent_id,parent_key,type_id,type_name,status_id,status_name
2022-03-15T10:24:30.301-0400,15787,GOD-184,10081,GOD,15587,GOD-109,10260,Sous-tâche,10265,To Do
2022-03-15T10:18:35.391-0400,15786,GOD-183,10081,GOD,15524,GOD-72,10260,Sous-tâche,10265,To Do
2022-03-02T10:20:27.534-0500,15738,GOD-182,10081,GOD,15418,GOD-26,10256,Story,10265,To Do
2022-03-16T09:30:57.528-0400,15738,GOD-182,10081,GOD,15418,GOD-26,10256,Story,10267,Done
2022-03-15T15:51:02.396-0400,15738,GOD-182,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
2022-03-15T15:51:00.401-0400,15738,GOD-182,10081,GOD,15418,GOD-26,10256,Story,10267,Done
2022-03-02T16:45:56.988-0500,15738,GOD-182,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
2022-03-01T16:51:58.334-0500,15737,GOD-181,10081,GOD,15729,GOD-173,10256,Story,10265,To Do
2022-03-02T11:51:34.192-0500,15737,GOD-181,10081,GOD,15729,GOD-173,10256,Story,10266,In Progress
2022-03-01T16:51:45.228-0500,15736,GOD-180,10081,GOD,15729,GOD-173,10256,Story,10265,To Do
2022-03-02T11:51:19.718-0500,15736,GOD-180,10081,GOD,15729,GOD-173,10256,Story,10266,In Progress
2022-03-01T16:51:31.621-0500,15735,GOD-179,10081,GOD,15729,GOD-173,10256,Story,10265,To Do
2022-03-02T11:51:16.201-0500,15735,GOD-179,10081,GOD,15729,GOD-173,10256,Story,10266,In Progress
2022-03-01T16:50:52.379-0500,15734,GOD-178,10081,GOD,15729,GOD-173,10256,Story,10265,To Do
2022-03-02T11:51:29.838-0500,15734,GOD-178,10081,GOD,15729,GOD-173,10256,Story,10266,In Progress
2022-03-01T16:50:13.874-0500,15733,GOD-177,10081,GOD,15729,GOD-173,10256,Story,10265,To Do
